after;before
4,373373982;2,754534064
2,069226453;2,328444891
3,982201448;1,554870534
3,076348136;2,516588422
2,88470521;2,968056135
4,02739333;3,118853994
5,771862603;3,998198947
2,996256554;3,430934368
4,000870418;3,035622496
3,112840928;2,722105121
2,536784606;1,934399035
3,173992396;3,140725523
2,267860778;3,812218194
2,139672502;2,905388312
2,712924285;3,922641765
3,426515647;2,558274202
2,19662688;3,273157047
3,212828275;4,430136171
2,543550905;3,473458703
3,795413519;3,10989911
3,547337015;2,949243237
3,797736141;2,732021341
