"flowers";"grazing"
48;"high"
15;"low"
14;"high"
12;"high"
41;"high"
7;"low"
0;"high"
7;"low"
12;"low"
27;"low"
9;"high"
8;"high"
5;"low"
25;"low"
19;"low"
2;"low"
9;"high"
14;"high"
15;"high"
12;"low"
19;"high"
9;"low"
52;"high"
15;"high"
7;"low"
7;"high"
10;"low"
0;"low"
7;"low"
7;"low"
19;"high"
26;"high"
0;"low"
19;"low"
3;"high"
27;"high"
19;"low"
17;"low"
17;"high"
79;"high"
19;"high"
32;"high"
20;"low"
5;"low"
15;"low"
9;"low"
44;"high"
13;"low"
7;"high"
13;"low"
11;"low"
5;"low"
32;"high"
17;"low"
